Campaign,Username,Profile ID,Email Ban,Account Manager(VIP) / Black List,VIP Category,Type,Value,Agent's Gender,Agent,Date of Call,Time of Call,Month of Call,Response,Attitude,Reason,Promo Code Credited,Comments,Feedback,Loyalty,Agent 2nd attempt,Response 2nd attempt,Attitude 2nd attempt,Reason 2nd attempt
GR HGC,Varouchaki,800830,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,V. Karakonstantis,UNANSWERED,-,-
GR HGC,PANOS542,928617,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,kimon2104197,651662,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,V. Karakonstantis,ANSWERED,Positive,C will deposit
GR HGC,ekoeko,669811,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,ANSWERED,Neutral,C didn't have time to talk,-,C will call us back,-,-,-,-,-,-
GR HGC,User35,979157,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,V. Karakonstantis,UNANSWERED,-,-
GR HGC,Kostas1982an,990105,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,ΑNSWERED BY 3RD PERSON,-,-,-,-,-,-,-,-,-,-
GR HGC,ZAFEIRAKIS,589860,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,ANSWERED,Negative,C hung up the phone,-,-,-,-,-,-,-,-
GR HGC,pax19711,678836,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,ANSWERED,Negative,C hung up the phone,-,-,-,-,-,-,-,-
GR HGC,Fouzou,872498,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,V. Karakonstantis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,V. Karakonstantis,UNANSWERED,-,-
GR HGC,LITSAKIG,1031806,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,D. Nompilakis,UNANSWERED,-,-
GR HGC,Sunkani,884282,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,Vlochaitis,917239,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,D. Nompilakis,UNANSWERED,-,-
GR HGC,jimman21,877256,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,MementoMori,814424,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,D. Nompilakis,CANNOT CONNECT TO NUMBER,-,-
GR HGC,LinaLina,913412,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,D. Nompilakis,UNANSWERED,-,-
GR HGC,banajo12,896032,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,D. Nompilakis,UNANSWERED,-,-
GR HGC,DCZOSO,897855,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,13:00,2026-01,ANSWERED,Positive,C will deposit,-,-,-,-,-,-,-,-
GR HGC,VASILA69,1174039,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Gedikidis,UNANSWERED,-,-
GR HGC,gianniska3,1290886,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Gedikidis,UNANSWERED,-,-
GR HGC,gkretsis,738019,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,13:00,2026-01,UNANSWERED,-,-,-,via to do,-,-,C.Gedikidis,ANSWERED,Positive,C will deposit
GR HGC,Markmar,1573515,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,13:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,psaltissec1,844775,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,cubanos7,972729,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,dim1951,1543640,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,kazous,1083403,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,TOPAZIS71,652594,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,nikos27160,1192434,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,ANSWERED,Neutral,C may deposit at some point,-,C will call us back,-,-,-,-,-,-
GR HGC,magos1987,1326079,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,badcookie1,713533,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,tankersele,1520623,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,fatsa9,713291,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K. Kottis,UNANSWERED,-,-
GR HGC,Xenia11,980795,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,14:00,2026-01,ANSWERED,Positive,C will deposit,-,-,-,-,-,-,-,-
GR HGC,bmoulakakis,934157,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,OUAGA19,1075932,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,D. Nompilakis,UNANSWERED,-,-
GR HGC,johnb13,847128,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Maragkou,UNANSWERED,-,-
GR HGC,Dimas22222,825397,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,mamalo3,1274425,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Maragkou,UNANSWERED,-,-
GR HGC,Elledriver,1431404,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,ICEKAFE111,598002,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Maragkou,UNANSWERED,-,-
GR HGC,Lea1711,885842,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,C.Maragkou,CANNOT CONNECT TO NUMBER,-,-
GR HGC,tantos1989,1154247,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,C.Maragkou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Maragkou,UNANSWERED,-,-
GR HGC,thanosmit,889146,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,14:00,2026-01,ANSWERED,Positive,C will deposit,-,-,-,-,-,-,-,-
GR HGC,tzam24,1481609,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Gedikidis,UNANSWERED,-,-
GR HGC,eljugadorrr,878511,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Gedikidis,ANSWERED,Positive,C will deposit
GR HGC,Pantum1981,921483,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C has stopped gambling,-,-,-,-,-,-,-,-
GR HGC,Elpadron,1278885,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,C.Gedikidis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,C.Gedikidis,UNANSWERED,-,-
GR HGC,Cemali1990,799689,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,UNANSWERED,-,-
GR HGC,Nikos1980m,1228326,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,NOT CALLED,-,Phone belongs to third person,-,-,-,-,-,-,-,-
GR HGC,DIMITRISKEL,1022577,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,-,-,-,-,-,-,-,-,-,-,-
GR HGC,Sakaras,1025798,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,mkostas3322,1141517,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,UNANSWERED,-,-
GR HGC,tsarly8962,1105748,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,UNANSWERED,-,-
GR HGC,booker,756739,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,ANSWERED,Negative,C is not interested
GR HGC,rizovouniedo,1030347,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,UNANSWERED,-,-
GR HGC,fragiskosa95,1133750,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,M.Ntouni,UNANSWERED,-,-
GR HGC,SYMIAKOS,689004,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,M.Ntouni,21-Jan-2026,14:00,2026-01,-,-,-,-,-,-,-,-,-,-,-
GR HGC,logoped,696124,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,BLACKHORSE,1298515,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,tomaso,833793,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K.Lymperopoulou,UNANSWERED,-,-
GR HGC,chtheoch,844776,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,iasonas1994,918846,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K.Lymperopoulou,UNANSWERED,-,-
GR HGC,paralias63,1166297,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,arismayridis,1308308,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K.Lymperopoulou,UNANSWERED,-,-
GR HGC,evaggelia210,1356852,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,K.Lymperopoulou,ANSWERED,Positive,C will deposit
GR HGC,nester17,838112,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,costas123,723700,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,K.Lymperopoulou,21-Jan-2026,14:00,2026-01,ANSWERED,Callback,-,-,15. 10,-,-,K.Lymperopoulou,ANSWERED,Negative,C is not interested
GR HGC,Georgiaalt,1021140,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,A.Karatsis,UNANSWERED,-,-
GR HGC,Veron1312,1545461,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,A.Karatsis,UNANSWERED,-,-
GR HGC,nikioraio2,1164732,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,A.Karatsis,UNANSWERED,-,-
GR HGC,Villaflora,1120623,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C hung up the phone,-,-,-,-,-,-,-,-
GR HGC,Moutsounas62,1370536,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,ANSWERED,-,Other,-,lost connection,-,-,A.Karatsis,UNANSWERED,-,-
GR HGC,shaqdk,937794,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,A.Karatsis,ANSWERED,Negative,C is not interested
GR HGC,savvasefst,993986,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,NOT CALLED,-,Negative Type,-,-,-,-,-,-,-,-
GR HGC,basil1972,716750,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,CANNOT CONNECT TO NUMBER,-,-,-,call blocking,-,-,-,-,-,-
GR HGC,sarill123,943995,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,UNANSWERED,-,-,-,-,-,-,A.Karatsis,UNANSWERED,-,-
GR HGC,firstuncle,600637,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,A.Karatsis,21-Jan-2026,14:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,lizasusu,1194699,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,ANSWERED,Negative,C Didn't Verify His Identity,-,-,-,-,-,-,-,-
GR HGC,Jordan619,779240,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,rikis1993,1257418,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,ANSWERED,Callback,-,-,CB AT 18:00,-,-,I.Dimou,UNANSWERED,-,-
GR HGC,yannis79,1249600,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,ANSWERED,Negative,C is abroad,-,-,-,-,-,-,-,-
GR HGC,blanka,1184622,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,moyra2911,703051,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,I.Dimou,UNANSWERED,-,-
GR HGC,panmania2020,1320077,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,athinakos7,1454337,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,I.Dimou,ANSWERED,Negative,C is not interested
GR HGC,Salmarios,1302125,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,Via aircall to do,-,-,I.Dimou,ANSWERED,Negative,C is not interested
GR HGC,VOLTEAS,947329,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,I.Dimou,21-Jan-2026,15:00,2026-01,ANSWERED,Negative,C is not interested,-,-,-,-,-,-,-,-
GR HGC,Eriavdi1990,921950,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,elpidaki,682424,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,T. Karapanagiotidis,UNANSWERED,-,-
GR HGC,Thodoros1963,1319968,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,ARTIN2018,809330,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,T. Karapanagiotidis,UNANSWERED,-,-
GR HGC,makram21,763331,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,T. Karapanagiotidis,UNANSWERED,-,-
GR HGC,bluewind127,986953,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,T. Karapanagiotidis,UNANSWERED,-,-
GR HGC,elenantwn,881068,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,ANSWERED,Negative,C has stopped gambling,-,-,-,-,-,-,-,-
GR HGC,mptnikos,1035860,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,ANSWERED,Positive,C will deposit,-,-,-,-,-,-,-,-
GR HGC,eirini198211,1316305,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,INVALID NUMBER,-,-,-,-,-,-,-,-,-,-
GR HGC,Spanos99,1230865,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,T. Karapanagiotidis,21-Jan-2026,15:00,2026-01,UNANSWERED,-,-,-,-,-,-,T. Karapanagiotidis,ANSWERED,Negative,C is not interested
GR HGC,Batatolaki11,1141191,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,-,-,-,-,-,-,-
GR HGC,vkalaitzakis,584754,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,22-Jan-2026,-,2026-01,NOT CALLED,-,Νο register number,-,-,-,-,-,-,-,-
GR HGC,jangos,682838,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,22-Jan-2026,-,2026-01,NOT CALLED,-,Νο register number,-,-,-,-,-,-,-,-
GR HGC,Theofpapa91,1529255,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,-,-,-,-,-,-,-
GR HGC,Parisee,1350363,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,K. Kottis,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,-,-,-,-,-,-,-
GR HGC,Tessy14,1009089,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,M,D. Nompilakis,22-Jan-2026,-,2026-01,NOT CALLED,-,C does not want calls,-,-,-,-,-,-,-,-
GR HGC,gavrio1955,1602625,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Account created/operated by 3rd person,-,#66443014,-,-,-,-,-,-
GR HGC,kwstas21xatz,1275192,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Phone belongs to third person,-,-,-,-,-,-,-,-
GR HGC,arkoutsona,1027715,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,Offer Abuser,-,-,-,-,-,-
GR HGC,Stratigos92,1283892,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,Monitored,-,-,-,-,-,-
GR HGC,nikstavraki,1813597,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,Market High,-,-,-,-,-,-
GR HGC,anthe72,864840,NO,NO,NON VIP,No Type,ND100- 500 CS or SB,F,N.Papachristodoulou,22-Jan-2026,-,2026-01,NOT CALLED,-,Negative Type,-,Offer Abuser,-,-,-,-,-,-
